name,padrillo,yegua,genre,criador,auctionOrder,year,value,valueUSDB,p1,p2,p1_p2,eday,birth_eday
CYBER CAFE,REMOTE (GB),CALLIA,Macho,Vacacion,15,2018,750000,26567.482,0.6718058,0.08509102,0.05716464,2018-07-31,2016-08-22
LOVE IS LOVE,TETAZE,ANTIQUITY,Macho,Egalite De 9,2,2024,30000,26565,0.4157908,0.032308374,0.013433524,2024-04-21,2022-09-22
GALIKA,FORTIFY (USA),GINGER IN THE RYE,Hembra,Vacacion,23,2024,31000,26556.158,0.72103953,0.117695555,0.08486315,2024-03-21,2022-07-01
DISTINTA ILUSION,EQUAL STRIPES,DISTINGUIDA CATCH,Hembra,Abolengo,3,2019,27000,26501.047,0.59397835,0.05214792,0.030974736,2019-07-03,2017-07-07
PURA ENERGIA,GRAND REWARD (USA),POR SORPRESA,Macho,Vacacion,48,2019,27000,26501.047,0.8052571,0.07083083,0.057037026,2019-07-03,2017-09-21
MONACO STRIPES,EQUAL STRIPES,MARINA ROMEA,Macho,Santa Ines,11,2023,55000,26483.484,0.551934,0.050443206,0.02784132,2023-05-03,2021-09-18
DARTE UN ABRAZO,ROMAN RULER (USA),DOÑA STARLET,Hembra,Vacacion,11,2019,27000,26458.21,0.6526407,0.06554161,0.04277512,2019-04-30,2017-10-01
SANTHIA,FORTIFY (USA),STELLIFY,Hembra,Vacacion,6,2023,52000,26442.48,0.6932245,0.0745689,0.051692985,2023-06-12,2021-10-19
ANOUSHKA,SEAHENGE (USA),ANETA,Hembra,Vacacion,29,2023,52000,26442.48,0.68261296,0.05609878,0.038293757,2023-06-12,2021-09-13
CONGRUENTE,LONG ISLAND SOUND (USA),COORDENADA,Macho,Abolengo,36,2022,48000,26419.117,0.6637288,0.11815511,0.07842294,2022-03-27,2020-08-29
LA COLIFA,HURRICANE CAT (USA),NUT CASE,Hembra,El Mallin,12,2019,27000,26407.41,0.6970265,0.0825533,0.057541836,2019-05-15,2017-08-02
TE RE ADORO,REMOTE (GB),TE ADORA HOLIDAY,Macho,Firmamento,16,2024,37000,26397.234,0.79587656,0.11439693,0.091045834,2024-05-23,2022-08-24
SUPER ROBERTS,SUPER SAVER (USA),MISS ROBERTS TOP,Macho,Firmamento,52,2021,43000,26390.906,0.78083205,0.099494524,0.077688515,2021-05-20,2019-08-28
SERENGETI,PORTAL DEL ALTO,SANTA CROCCE,Macho,Rodeo Chico,1,2022,47500,26383.814,0.7614936,0.03620455,0.027569534,2022-03-30,2020-09-27
ISOFONA,IN THE DARK,INCA GUERRERA,Hembra,Vacacion,37,2020,35000,26354.28,0.5818237,0.04851863,0.02822929,2020-03-15,2018-07-17
MERECIDO RESPETO,HURRICANE CAT (USA),MACOYA,Macho,Vacacion,10,2020,35000,26354.28,0.6608834,0.072417,0.047859196,2020-03-15,2018-09-25
BURNABY,FORTIFY (USA),BURG REIN,Macho,Embrujo,34,2020,35000,26354.28,0.6700336,0.08604385,0.05765227,2020-03-15,2018-09-11
STAY IN THE DARK,IN THE DARK,STAY CLOSE,Macho,Vacacion,53,2020,35000,26354.28,0.6494919,0.070833825,0.046005994,2020-03-15,2018-07-26
